"ward","type","location","year","est_cost","intersection_1","intersection_2","intersection_3","intersection_4","intersection_5"
1,"Alley Speed Hump Menu","N ASHLAND & W AV & N BOSWORTH AV & W NORTH AV & W LE MOYNE ST",2008,1000,"N ASHLAND & W AV","N BOSWORTH AV & W AV","N ASHLAND & W NORTH AV","N BOSWORTH AV & W NORTH AV","N ASHLAND & W LE MOYNE ST"
2,"Alley Speed Hump Menu","W MAYPOLE AV & W LAKE ST & N OAKLEY & W AV & N BELL AV",2008,1000,"N OAKLEY & W MAYPOLE AV","N BELL AV & W MAYPOLE AV","N OAKLEY & W LAKE ST","N BELL AV & W LAKE ST","N OAKLEY & W AV"
2,"Alley Speed Hump Menu","W MAYPOLE AV & W WASHINGTON & N OAKLEY & W AV & N LEAVITT ST",2008,1000,"N OAKLEY & W MAYPOLE AV","N LEAVITT ST & W MAYPOLE AV","N OAKLEY & W WASHINGTON","N LEAVITT ST & W WASHINGTON","N OAKLEY & W AV"
2,"Miscellaneous-CDOT","Madison & Monroe & Adams & Jackson & Van Buren.",2009,14883,"NA","NA","NA","NA","NA"
2,"Miscellaneous-CDOT","Jackson & Oakley & Leavitt & Hoyne & Seeley",2009,14036,"NA","NA","NA","NA","NA"
2,"Miscellaneous-Other","Madison & Damen & Western & California & Washington & Warren",2009,14883,"NA","NA","NA","NA","NA"
3,"Alley Resurfacing Menu (1-1)","47TH ST & S DR MARTIN LUTHER KING JR DR & E 43RD ST & E 44TH ST & S VINCENNES AVE",2021,38436.09,"S DR MARTIN LUTHER KING JR DR & E 43RD ST","S VINCENNES AVE & E 43RD ST","S DR MARTIN LUTHER KING JR DR & E 44TH ST","S VINCENNES AVE & E 44TH ST","NA"
27,"Concrete Alley Menu","N MILWAUKEE AV & W AUGUSTA BV & N WILLARD CT & N RACINE & W AV",2007,143000,"N MILWAUKEE AV & W AUGUSTA BV","N WILLARD CT & W AUGUSTA BV","N RACINE & W AUGUSTA BV","N MILWAUKEE AV & W AV","N WILLARD CT & W AV"
39,"Alley Resurface Menu","N HAMLIN AV & N AVERS & W AV & W LAWRENCE AV & W AINSLIE ST",2005,20620,"N HAMLIN AV & W AV","N AVERS & W AV","N HAMLIN AV & W LAWRENCE AV","N AVERS & W LAWRENCE AV","N HAMLIN AV & W AINSLIE ST"
42,"Miscellaneous-CDOT","Canal & Clinton & Dearborn & Fulton & Wells",2007,52000,"NA","NA","NA","NA","NA"
43,"Miscellaneous-CDOT","W ARMITAGE AVE & N CLARK ST & W CORTLAND ST & N HALSTED ST & W FULLERTON AVE",2010,90000,"N CLARK ST & W ARMITAGE AVE","N HALSTED ST & W ARMITAGE AVE","N CLARK ST & W CORTLAND ST","N HALSTED ST & W CORTLAND ST","N CLARK ST & W FULLERTON AVE"
